N,P,K,temperature,humidity,ph,rainfall,crop
96.5,84.8,54.1,28.99,84.21,6.48,90.32,Banana
99.7,24.4,29.9,27.23,66.64,6.48,140.0,Coffee
92.4,41.4,41.8,25.32,85.96,6.47,229.42,Rice
28.1,69.9,83.7,19.84,14.64,6.35,88.34,Chickpea
75.6,35.3,44.1,20.64,83.19,6.95,294.07,Rice
107.0,81.0,45.7,27.32,83.21,6.11,114.96,Banana
38.1,77.3,79.4,18.82,17.79,7.62,81.08,Chickpea
114.4,22.7,49.8,25.56,89.75,6.97,44.31,Watermelon
26.1,69.8,76.9,17.99,19.13,6.5,62.13,Chickpea
80.6,26.3,34.3,26.33,66.45,6.02,158.78,Coffee
115.6,26.4,33.3,27.96,53.27,6.83,170.69,Coffee
91.8,41.8,39.4,20.55,80.25,6.96,280.32,Rice
77.4,45.0,41.2,24.45,80.45,6.37,255.1,Rice
115.2,34.3,28.4,24.69,50.14,6.82,184.29,Coffee
73.8,59.4,21.4,25.4,57.65,6.83,106.14,Maize
62.7,49.6,18.5,23.59,55.91,6.85,108.67,Maize
27.5,61.0,15.3,19.96,20.63,5.84,74.46,Kidneybeans
96.2,18.4,34.8,27.27,59.97,6.72,130.45,Coffee
109.3,19.7,33.1,25.94,54.22,6.28,166.52,Coffee
30.4,63.4,84.8,19.57,18.21,8.01,76.86,Chickpea
34.2,77.0,77.2,19.03,17.65,6.76,64.1,Chickpea
115.5,51.5,19.4,24.59,75.61,7.63,107.03,Cotton
129.0,58.2,19.3,22.48,80.12,6.7,78.74,Cotton
49.6,66.4,81.9,17.42,16.91,5.98,75.16,Chickpea
89.8,35.8,40.7,25.34,88.77,6.34,278.55,Rice
63.1,36.5,18.3,25.06,69.15,6.75,85.86,Maize
124.9,53.0,16.1,22.14,84.94,6.47,62.69,Cotton
17.1,64.2,22.5,15.46,20.96,5.68,90.1,Kidneybeans
45.6,66.0,83.5,19.68,14.37,8.46,73.45,Chickpea
18.2,71.6,21.9,21.31,22.52,5.85,105.0,Kidneybeans
42.4,66.8,75.6,19.87,19.66,8.18,89.74,Chickpea
87.0,21.7,25.2,25.0,61.0,6.74,169.71,Coffee
107.2,44.8,24.5,22.56,82.64,6.22,109.06,Cotton
104.8,35.9,15.5,25.34,76.18,6.09,81.89,Cotton
42.1,75.9,82.4,17.43,18.52,8.13,79.76,Chickpea
26.1,70.6,23.7,23.96,21.5,5.82,89.42,Kidneybeans
45.9,59.5,83.0,18.66,16.38,6.28,85.96,Chickpea
78.2,50.5,37.8,21.32,84.64,6.35,250.04,Rice
44.9,70.0,76.1,17.28,19.46,7.84,84.88,Chickpea
109.2,57.4,17.6,22.88,76.38,7.72,85.0,Cotton
120.0,85.2,49.0,26.13,77.57,5.98,101.02,Banana
85.0,37.9,44.4,24.39,83.35,6.14,275.28,Rice
97.9,92.0,53.9,25.98,81.14,5.59,101.75,Banana
49.4,67.1,83.6,18.77,16.25,6.73,66.1,Chickpea
83.6,26.6,48.2,24.53,82.39,6.42,45.02,Watermelon
46.7,63.6,76.5,17.08,17.87,7.75,70.22,Chickpea
23.7,74.9,77.8,19.63,19.66,6.33,73.88,Chickpea
85.3,50.8,40.4,20.63,88.35,6.32,202.38,Rice
81.3,48.5,41.4,25.08,89.76,6.52,218.75,Rice
77.3,42.8,20.1,21.96,57.11,6.57,70.8,Maize
109.0,50.4,15.4,23.3,79.69,6.3,109.23,Cotton
94.2,85.6,52.3,29.66,77.79,6.45,91.9,Banana
47.9,65.1,84.1,17.96,16.86,6.56,79.21,Chickpea
73.9,52.0,20.7,20.4,72.57,6.76,92.92,Maize
93.2,88.0,53.5,26.28,75.21,5.72,91.7,Banana
44.7,78.9,83.2,17.0,17.82,6.05,67.73,Chickpea
95.2,27.8,51.2,25.24,89.34,6.05,44.21,Watermelon
109.9,76.4,46.3,25.29,78.05,5.66,95.22,Banana
80.0,11.0,47.1,24.75,88.06,6.28,43.83,Watermelon
41.1,62.5,76.1,19.35,17.86,6.04,70.8,Chickpea
45.2,66.8,84.8,18.9,14.76,7.86,69.75,Chickpea
78.7,50.3,16.7,26.92,59.63,6.93,92.48,Maize
82.7,53.5,23.8,21.64,61.54,6.6,100.39,Maize
67.1,37.2,36.2,23.23,82.06,6.36,240.41,Rice
91.2,37.7,22.6,22.87,74.26,6.21,91.63,Maize
108.1,28.9,50.3,25.2,89.54,6.64,45.96,Watermelon
83.4,58.5,40.8,22.72,86.43,6.46,245.47,Rice
20.5,79.1,77.5,19.03,18.24,7.67,69.39,Chickpea
25.2,63.2,21.6,23.74,21.37,5.79,66.16,Kidneybeans
29.5,79.8,22.6,18.98,22.24,5.66,80.6,Kidneybeans
20.8,76.0,75.1,19.11,19.82,7.17,67.05,Chickpea
60.4,38.4,44.0,26.12,85.97,6.6,259.8,Rice
104.6,81.6,52.9,29.11,80.54,5.68,104.03,Banana
92.6,42.0,36.2,24.88,86.29,6.88,268.21,Rice
64.5,51.8,40.2,25.41,85.2,6.85,246.23,Rice
36.5,62.2,78.1,18.06,17.73,6.87,81.98,Chickpea
61.3,37.0,19.0,19.19,66.35,6.63,100.03,Maize
74.9,54.4,38.4,26.52,88.58,6.43,270.1,Rice
110.0,11.8,46.2,24.76,89.21,6.58,50.67,Watermelon
85.9,18.2,32.9,26.08,50.9,6.75,137.8,Coffee
111.1,86.1,48.7,29.75,75.22,5.8,117.63,Banana
71.4,42.7,23.0,22.85,61.23,6.53,95.81,Maize
88.8,18.3,29.1,27.63,64.21,6.5,156.55,Coffee
83.4,47.6,41.1,20.13,88.72,6.93,247.82,Rice
38.3,62.4,24.3,21.15,21.19,5.51,102.8,Kidneybeans
82.8,12.0,48.2,26.84,82.83,6.46,53.43,Watermelon
106.7,93.7,49.1,26.63,81.07,6.43,115.11,Banana
86.2,41.8,24.5,19.36,63.65,6.93,80.99,Maize
90.8,25.6,50.2,25.39,83.14,6.58,54.6,Watermelon
103.2,46.9,21.3,25.31,82.83,6.55,107.04,Cotton
19.4,71.4,20.8,19.41,21.87,5.59,109.74,Kidneybeans
23.9,62.1,17.2,19.67,21.65,5.6,65.2,Kidneybeans
96.3,41.2,17.7,24.83,63.99,6.73,63.27,Maize
39.5,73.5,78.2,18.93,16.37,7.97,65.98,Chickpea
99.5,27.0,50.3,26.79,84.84,6.49,42.39,Watermelon
114.8,43.9,18.4,24.08,79.41,7.76,85.28,Cotton
33.8,71.6,24.0,22.36,22.54,5.52,60.62,Kidneybeans
98.8,16.4,50.8,25.07,81.64,6.5,56.6,Watermelon
94.4,53.1,15.7,24.37,65.87,5.9,82.92,Maize
78.1,48.1,39.4,22.81,85.6,6.16,201.83,Rice
